"psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0060534353,0.15361638,-0.0060462646,1,0.078000002,2,0.078000002,0
0.0063747161,0.15899793,-0.0061770516,1,0.079999998,2,0.079999998,0
0.006695998,0.16437949,-0.006307839,1,0.082000002,2,0.082000002,0
0.0070172788,0.16976104,-0.006438626,1,0.083999999,2,0.083999999,0
0.0073385608,0.1751426,-0.0065694134,1,0.086000003,2,0.086000003,0
0.0076598416,0.18052415,-0.0067002004,1,0.088,2,0.088,0
0.0079811236,0.18590571,-0.0068309878,1,0.090000004,2,0.090000004,0
0.0083024044,0.19128726,-0.0069617748,1,0.092,2,0.092,0
0.0087013325,0.19642729,-0.0071531661,1,0.093999997,2,0.093999997,0
0.0092504718,0.20110013,-0.0074617981,1,0.096000001,2,0.096000001,0
0.0097996091,0.20577295,-0.0077704289,1,0.097999997,2,0.097999997,0
0.010348748,0.21044579,-0.0080790608,1,0.1,2,0.1,0
0.010897886,0.21511861,-0.0083876916,1,0.102,2,0.102,0
0.011447025,0.21979145,-0.0086963236,1,0.104,2,0.104,0
0.011996162,0.22446427,-0.0090049544,1,0.106,2,0.106,0
0.012545301,0.22913711,-0.0093135863,1,0.108,2,0.108,0
0.013094439,0.23380993,-0.0096222171,1,0.11,2,0.11,0
0.013643578,0.23848277,-0.0099308491,1,0.112,2,0.112,0
0.014192715,0.24315559,-0.01023948,1,0.114,2,0.114,0
0.014741852,0.24782841,-0.010548111,1,0.116,2,0.116,0
0.015290992,0.25250125,-0.010856743,1,0.118,2,0.118,0
0.015840129,0.25717408,-0.011165373,1,0.12,2,0.12,0
0.016389268,0.26184691,-0.011474005,1,0.122,2,0.122,0
0.016938405,0.26651974,-0.011782636,1,0.124,2,0.124,0
0.017487545,0.27119258,-0.012091268,1,0.126,2,0.126,0
0.018036684,0.27586541,-0.0123999,1,0.12800001,2,0.12800001,0
0.018585819,0.28053822,-0.01270853,1,0.13,2,0.13,0
0.019134958,0.28521106,-0.013017162,1,0.132,2,0.132,0
0.019684098,0.2898839,-0.013325794,1,0.134,2,0.134,0
0.020233237,0.29455674,-0.013634426,1,0.13600001,2,0.13600001,0
0.020782372,0.29922954,-0.013943055,1,0.138,2,0.138,0
0.021331512,0.30390238,-0.014251687,1,0.14,2,0.14,0
0.021880651,0.30857522,-0.014560319,1,0.142,2,0.142,0
0.022429786,0.31324802,-0.014868949,1,0.14399999,2,0.14399999,0
0.022978925,0.31792086,-0.015177581,1,0.146,2,0.146,0
0.023528065,0.3225937,-0.015486213,1,0.148,2,0.148,0
0.024077204,0.32726654,-0.015794845,1,0.15000001,2,0.15000001,0
0.024626339,0.33193934,-0.016103474,1,0.152,2,0.152,0
0.025175478,0.33661218,-0.016412106,1,0.154,2,0.154,0
0.025724618,0.34128502,-0.016720738,1,0.156,2,0.156,0
0.026276739,0.34595089,-0.017008935,1,0.15800001,2,0.15800001,0
0.026872693,0.35051418,-0.016996766,1,0.16,2,0.16,0
0.027468651,0.35507751,-0.016984596,1,0.162,2,0.162,0
0.02806461,0.35964084,-0.016972426,1,0.164,2,0.164,0
0.028660564,0.36420413,-0.016960256,1,0.16599999,2,0.16599999,0
0.029256522,0.36876746,-0.016948086,1,0.168,2,0.168,0
0.02985248,0.37333079,-0.016935916,1,0.17,2,0.17,0
0.030570413,0.37809383,-0.016918953,1,0.17200001,2,0.17200001,0
0.03148328,0.38317601,-0.016894328,1,0.17399999,2,0.17399999,0
0.032396154,0.38825823,-0.016869703,1,0.176,2,0.176,0
0.033309028,0.39334045,-0.016845078,1,0.178,2,0.178,0
0.034221902,0.39842268,-0.016820453,1,0.18000001,2,0.18000001,0
0.035134769,0.40350486,-0.016795828,1,0.182,2,0.182,0
0.036047643,0.40858708,-0.016771204,1,0.184,2,0.184,0
0.036960517,0.4136693,-0.016746579,1,0.186,2,0.186,0
0.037888585,0.4186682,-0.016648539,1,0.18799999,2,0.18799999,0
0.03885355,0.42346501,-0.016372327,1,0.19,2,0.19,0
0.039818516,0.42826181,-0.016096115,1,0.192,2,0.192,0
0.040783481,0.43305862,-0.015819903,1,0.19400001,2,0.19400001,0
0.041748439,0.43785539,-0.015543693,1,0.19599999,2,0.19599999,0
0.042713405,0.44265219,-0.015267481,1,0.198,2,0.198,0
0.04367837,0.447449,-0.014991269,1,0.2,2,0.2,0
0.044643336,0.4522458,-0.014715057,1,0.20200001,2,0.20200001,0
0.045608294,0.45704257,-0.014438847,1,0.204,2,0.204,0
0.04657326,0.46183938,-0.014162635,1,0.206,2,0.206,0
0.047538225,0.46663618,-0.013886423,1,0.208,2,0.208,0
0.048503183,0.47143295,-0.013610213,1,0.20999999,2,0.20999999,0
0.049468149,0.47622976,-0.013334001,1,0.212,2,0.212,0
0.050433114,0.48102656,-0.013057789,1,0.214,2,0.214,0
0.05139808,0.48582337,-0.012781577,1,0.21600001,2,0.21600001,0
0.052363038,0.49062014,-0.012505367,1,0.21799999,2,0.21799999,0
0.053328004,0.49541695,-0.012229155,1,0.22,2,0.22,0
0.054292969,0.50021375,-0.011952943,1,0.222,2,0.222,0
0.055257935,0.50501056,-0.011676731,1,0.22400001,2,0.22400001,0
0.056222893,0.50980733,-0.011400521,1,0.226,2,0.226,0
0.057187858,0.51460413,-0.011124309,1,0.228,2,0.228,0
0.058152824,0.51940094,-0.010848097,1,0.23,2,0.23,0
0.059117782,0.52419771,-0.010571887,1,0.23199999,2,0.23199999,0
0.060082748,0.52899451,-0.010295675,1,0.234,2,0.234,0
0.061047713,0.53379132,-0.010019463,1,0.236,2,0.236,0
0.062012679,0.53858812,-0.009743251,1,0.23800001,2,0.23800001,0
0.062977637,0.54338489,-0.009467041,1,0.23999999,2,0.23999999,0
0.063942603,0.5481817,-0.009190829,1,0.242,2,0.242,0
0.064907568,0.5529785,-0.008914617,1,0.244,2,0.244,0
0.065872533,0.55777531,-0.008638405,1,0.24600001,2,0.24600001,0
0.066837492,0.56257208,-0.0083621951,1,0.248,2,0.248,0
0.06799125,0.56769048,-0.0078576007,1,0.25,2,0.25,0
0.069245366,0.57297983,-0.007231603,1,0.252,2,0.252,0
0.070499483,0.57826919,-0.0066056052,1,0.25400001,2,0.25400001,0
0.071753599,0.58355854,-0.0059796075,1,0.25600001,2,0.25600001,0
0.073007696,0.58884782,-0.005353619,1,0.25799999,2,0.25799999,0
0.074261813,0.59413717,-0.0047276213,1,0.25999999,2,0.25999999,0
0.075515929,0.59942652,-0.0041016235,1,0.26199999,2,0.26199999,0
0.076770045,0.60471588,-0.0034756258,1,0.264,2,0.264,0
0.078024162,0.61000523,-0.002849628,1,0.266,2,0.266,0
0.079278278,0.61529459,-0.0022236303,1,0.26800001,2,0.26800001,0
0.080532394,0.62058394,-0.0015976325,1,0.27000001,2,0.27000001,0
0.081786511,0.62587329,-0.00097163479,1,0.27200001,2,0.27200001,0
0.083040608,0.63116257,-0.00034564637,1,0.27399999,2,0.27399999,0
0.084294725,0.63645192,0.00028035138,1,0.27599999,2,0.27599999,0
0.085548841,0.64174128,0.00090634913,1,0.278,2,0.278,0
0.086802957,0.64703063,0.0015323469,1,0.28,2,0.28,0
0.088057074,0.65231998,0.0021583446,1,0.28200001,2,0.28200001,0
0.08931119,0.65760934,0.0027843424,1,0.28400001,2,0.28400001,0
0.090565306,0.66289869,0.0034103401,1,0.28600001,2,0.28600001,0
0.091819404,0.66818797,0.0040363286,1,0.28799999,2,0.28799999,0
0.09307352,0.67347732,0.0046623263,1,0.28999999,2,0.28999999,0
0.094411501,0.6790532,0.0048698136,1,0.292,2,0.292,0
0.095835061,0.68492145,0.0046502292,1,0.294,2,0.294,0
0.097258621,0.69078971,0.0044306447,1,0.296,2,0.296,0
0.098682182,0.69665797,0.0042110602,1,0.29800001,2,0.29800001,0
0.10010574,0.70252623,0.0039914758,1,0.30000001,2,0.30000001,0
0.10152928,0.7083944,0.0037718946,1,0.30199999,2,0.30199999,0
0.10295284,0.71426266,0.0035523101,1,0.30399999,2,0.30399999,0
0.1043764,0.72013092,0.0033327256,1,0.30599999,2,0.30599999,0
0.10585597,0.72604596,0.0030030176,1,0.308,2,0.308,0
0.10740784,0.73202139,0.0025311599,1,0.31,2,0.31,0
0.1089597,0.73799681,0.0020593021,1,0.31200001,2,0.31200001,0
0.11051157,0.74397224,0.0015874444,1,0.31400001,2,0.31400001,0
0.11206344,0.74994766,0.0011155866,1,0.31600001,2,0.31600001,0
0.11361528,0.755923,0.00064373594,1,0.31799999,2,0.31799999,0
0.11516715,0.76189842,0.0001718782,1,0.31999999,2,0.31999999,0
0.11671901,0.76787384,-0.00029997955,1,0.322,2,0.322,0
0.11827088,0.77384927,-0.00077183729,1,0.324,2,0.324,0
0.11982275,0.77982469,-0.001243695,1,0.32600001,2,0.32600001,0
0.12137461,0.78580012,-0.0017155528,1,0.32800001,2,0.32800001,0
0.12292648,0.79177554,-0.0021874105,1,0.33000001,2,0.33000001,0
0.12447833,0.79775088,-0.0026592612,1,0.33199999,2,0.33199999,0
0.12603019,0.8037263,-0.003131119,1,0.33399999,2,0.33399999,0
0.12758206,0.80970172,-0.0036029767,1,0.336,2,0.336,0
0.12913393,0.81567715,-0.0040748344,1,0.338,2,0.338,0
0.13068579,0.82165257,-0.0045466922,1,0.34,2,0.34,0
0.13223766,0.827628,-0.0050185499,1,0.34200001,2,0.34200001,0
0.13378953,0.83360342,-0.0054904077,1,0.34400001,2,0.34400001,0
0.13534137,0.83957876,-0.0059622584,1,0.34599999,2,0.34599999,0
0.13708715,0.84452967,-0.0055889924,1,0.34799999,2,0.34799999,0
0.13888068,0.84922825,-0.005007568,1,0.34999999,2,0.34999999,0
0.14067422,0.85392683,-0.0044261435,1,0.352,2,0.352,0
0.14246776,0.85862541,-0.0038447191,1,0.354,2,0.354,0
0.14426129,0.86332398,-0.0032632947,1,0.35600001,2,0.35600001,0
0.14605483,0.86802256,-0.0026818703,1,0.35800001,2,0.35800001,0
0.14784836,0.87272114,-0.0021004458,1,0.36000001,2,0.36000001,0
0.14964187,0.87741964,-0.0015190301,1,0.36199999,2,0.36199999,0
0.15143541,0.88211822,-0.00093760564,1,0.36399999,2,0.36399999,0
0.15322895,0.8868168,-0.00035618121,1,0.366,2,0.366,0
0.15502248,0.89151538,0.00022524321,1,0.368,2,0.368,0
0.15681602,0.89621395,0.00080666764,1,0.37,2,0.37,0
0.15860956,0.90091253,0.0013880921,1,0.37200001,2,0.37200001,0
0.16040309,0.90561111,0.0019695165,1,0.37400001,2,0.37400001,0
0.1621966,0.91030961,0.0025509322,1,0.37599999,2,0.37599999,0
0.16399014,0.91500819,0.0031323567,1,0.37799999,2,0.37799999,0
0.16578368,0.91970677,0.0037137811,1,0.38,2,0.38,0
0.16757721,0.92440534,0.0042952055,1,0.382,2,0.382,0
0.16938924,0.92896031,0.0047052395,1,0.384,2,0.384,0
0.17126798,0.93299733,0.0044971431,1,0.38600001,2,0.38600001,0
0.17314671,0.93703434,0.0042890466,1,0.38800001,2,0.38800001,0
0.17502541,0.9410713,0.0040809533,1,0.38999999,2,0.38999999,0
0.17690414,0.94510831,0.0038728569,1,0.39199999,2,0.39199999,0
0.17878287,0.94914533,0.0036647605,1,0.39399999,2,0.39399999,0
0.1806616,0.95318234,0.003456664,1,0.396,2,0.396,0
0.18254033,0.95721936,0.0032485676,1,0.398,2,0.398,0
0.18441906,0.96125638,0.0030404712,1,0.40000001,2,0.40000001,0
0.18629779,0.96529339,0.0028323748,1,0.40200001,2,0.40200001,0
0.18822991,0.96944579,0.0025348774,1,0.40400001,2,0.40400001,0
0.19025455,0.97379811,0.0020824267,1,0.40599999,2,0.40599999,0
0.19227923,0.9781505,0.0016299692,1,0.40799999,2,0.40799999,0
0.1943039,0.98250288,0.0011775117,1,0.41,2,0.41,0
0.19632857,0.98685527,0.00072505418,1,0.412,2,0.412,0
0.19835324,0.99120766,0.00027259669,1,0.414,2,0.414,0
0.20037791,0.99556004,-0.0001798608,1,0.41600001,2,0.41600001,0
0.20240258,0.99991243,-0.00063231829,1,0.41800001,2,0.41800001,0
0.20442722,1.0042647,-0.001084769,1,0.41999999,2,0.41999999,0
0.20645189,1.0086171,-0.0015372265,1,0.42199999,2,0.42199999,0
0.20847656,1.0129695,-0.001989684,1,0.42399999,2,0.42399999,0
0.21050123,1.0173219,-0.0024421415,1,0.426,2,0.426,0
0.2125259,1.0216743,-0.002894599,1,0.428,2,0.428,0
0.21455057,1.0260267,-0.0033470565,1,0.43000001,2,0.43000001,0
0.21657524,1.0303791,-0.003799514,1,0.43200001,2,0.43200001,0
0.21859988,1.0347314,-0.0042519647,1,0.43399999,2,0.43399999,0
0.22062456,1.0390838,-0.0047044222,1,0.43599999,2,0.43599999,0
0.22264923,1.0434362,-0.0051568797,1,0.43799999,2,0.43799999,0
0.2246739,1.0477885,-0.0056093372,1,0.44,2,0.44,0
0.22669857,1.0521409,-0.0060617947,1,0.442,2,0.442,0
0.22872324,1.0564933,-0.0065142522,1,0.44400001,2,0.44400001,0
0.2307797,1.0607542,-0.0069072626,1,0.44600001,2,0.44600001,0
0.23296438,1.064646,-0.0070604632,1,0.44800001,2,0.44800001,0
0.23514902,1.0685378,-0.0072136615,1,0.44999999,2,0.44999999,0
0.2373337,1.0724296,-0.0073668621,1,0.45199999,2,0.45199999,0
0.23951838,1.0763215,-0.0075200626,1,0.454,2,0.454,0
0.24170306,1.0802133,-0.0076732632,1,0.456,2,0.456,0
0.24388774,1.0841051,-0.0078264638,1,0.458,2,0.458,0
0.24607242,1.0879969,-0.0079796644,1,0.46000001,2,0.46000001,0
0.2482571,1.0918887,-0.0081328649,1,0.46200001,2,0.46200001,0
0.25044175,1.0957805,-0.0082860632,1,0.46399999,2,0.46399999,0
0.25262643,1.0996723,-0.0084392638,1,0.46599999,2,0.46599999,0
0.25481111,1.1035642,-0.0085924644,1,0.46799999,2,0.46799999,0
0.25699579,1.107456,-0.008745665,1,0.47,2,0.47,0
0.25918047,1.1113478,-0.0088988655,1,0.472,2,0.472,0
0.26136515,1.1152396,-0.0090520661,1,0.47400001,2,0.47400001,0
0.26357591,1.1189728,-0.0091532522,1,0.47600001,2,0.47600001,0
0.2658602,1.1222585,-0.0091077104,1,0.47799999,2,0.47799999,0
0.26814453,1.1255443,-0.0090621679,1,0.47999999,2,0.47999999,0
0.27042885,1.1288301,-0.0090166255,1,0.48199999,2,0.48199999,0
0.27271318,1.1321158,-0.008971083,1,0.484,2,0.484,0
0.2749975,1.1354016,-0.0089255405,1,0.486,2,0.486,0
0.27728183,1.1386873,-0.008879998,1,0.48800001,2,0.48800001,0
0.27956616,1.1419731,-0.0088344555,1,0.49000001,2,0.49000001,0
0.28185048,1.1452588,-0.008788913,1,0.49200001,2,0.49200001,0
0.28413478,1.1485445,-0.0087433712,1,0.49399999,2,0.49399999,0
0.2864191,1.1518303,-0.0086978287,1,0.49599999,2,0.49599999,0
0.28870343,1.155116,-0.0086522862,1,0.498,2,0.498,0
0.29098775,1.1584018,-0.0086067437,1,0.5,2,0.5,0
0.29327205,1.1616875,-0.0085612019,1,0.50199997,2,0.50199997,0
0.29555641,1.1649733,-0.0085156588,1,0.50400001,2,0.50400001,0
0.2978407,1.168259,-0.0084701169,1,0.50599998,2,0.50599998,0
0.30012506,1.1715448,-0.0084245738,1,0.50800002,2,0.50800002,0
0.30240935,1.1748305,-0.008379032,1,0.50999999,2,0.50999999,0
0.30469371,1.1781163,-0.0083334888,1,0.51200002,2,0.51200002,0
0.30704695,1.1813367,-0.0082691842,1,0.514,2,0.514,0
0.3094947,1.1844675,-0.0081791609,1,0.51599997,2,0.51599997,0
0.31194252,1.1875983,-0.008089135,1,0.51800001,2,0.51800001,0
0.31439026,1.1907291,-0.0079991117,1,0.51999998,2,0.51999998,0
0.31683808,1.19386,-0.0079090858,1,0.52200001,2,0.52200001,0
0.31928583,1.1969908,-0.0078190625,1,0.52399999,2,0.52399999,0
0.32173364,1.2001217,-0.0077290366,1,0.52600002,2,0.52600002,0
0.32418139,1.2032524,-0.0076390133,1,0.528,2,0.528,0
0.32662914,1.2063832,-0.0075489901,1,0.52999997,2,0.52999997,0
0.32907696,1.2095141,-0.0074589641,1,0.53200001,2,0.53200001,0
0.3315247,1.2126449,-0.0073689408,1,0.53399998,2,0.53399998,0
0.33397252,1.2157757,-0.0072789149,1,0.53600001,2,0.53600001,0
0.33642027,1.2189065,-0.0071888916,1,0.53799999,2,0.53799999,0
0.33886809,1.2220374,-0.0070988657,1,0.54000002,2,0.54000002,0
0.34131583,1.2251682,-0.0070088424,1,0.542,2,0.542,0
0.34376365,1.2282991,-0.0069188165,1,0.54400003,2,0.54400003,0
0.3462114,1.2314298,-0.0068287932,1,0.546,2,0.546,0
0.34865914,1.2345606,-0.00673877,1,0.54799998,2,0.54799998,0
0.35110696,1.2376915,-0.006648744,1,0.55000001,2,0.55000001,0
0.35355471,1.2408223,-0.0065587208,1,0.55199999,2,0.55199999,0
0.35600253,1.2439532,-0.0064686948,1,0.55400002,2,0.55400002,0
0.35845027,1.2470839,-0.0063786716,1,0.55599999,2,0.55599999,0
0.36089809,1.2502148,-0.0062886456,1,0.55800003,2,0.55800003,0
0.36339494,1.2530938,-0.006263284,1,0.56,2,0.56,0
0.36590218,1.2559194,-0.0062516215,1,0.56199998,2,0.56199998,0
0.3684095,1.2587451,-0.0062399587,1,0.56400001,2,0.56400001,0
0.37091675,1.2615707,-0.0062282962,1,0.56599998,2,0.56599998,0
0.37342407,1.2643964,-0.0062166333,1,0.56800002,2,0.56800002,0
0.37593131,1.2672221,-0.0062049708,1,0.56999999,2,0.56999999,0
0.37843863,1.2700478,-0.006193308,1,0.57200003,2,0.57200003,0
0.38094588,1.2728734,-0.0061816455,1,0.574,2,0.574,0
0.38345313,1.275699,-0.006169983,1,0.57599998,2,0.57599998,0
0.38596045,1.2785247,-0.0061583201,1,0.57800001,2,0.57800001,0
0.38846769,1.2813504,-0.0061466576,1,0.57999998,2,0.57999998,0
0.39100215,1.2840433,-0.0061578634,1,0.58200002,2,0.58200002,0
0.39364754,1.2861931,-0.0062626114,1,0.58399999,2,0.58399999,0
0.39629301,1.2883431,-0.0063673626,1,0.58600003,2,0.58600003,0
0.3989384,1.2904929,-0.0064721107,1,0.588,2,0.588,0
0.40158379,1.2926427,-0.0065768587,1,0.58999997,2,0.58999997,0
0.40422926,1.2947927,-0.0066816099,1,0.59200001,2,0.59200001,0
0.40687465,1.2969425,-0.0067863579,1,0.59399998,2,0.59399998,0
0.40952012,1.2990924,-0.0068911091,1,0.59600002,2,0.59600002,0
0.41216551,1.3012422,-0.0069958571,1,0.59799999,2,0.59799999,0
0.41481097,1.3033922,-0.0071006083,1,0.60000002,2,0.60000002,0
0.41745636,1.305542,-0.0072053563,1,0.602,2,0.602,0
0.42010175,1.3076918,-0.0073101044,1,0.60399997,2,0.60399997,0
0.42274722,1.3098417,-0.0074148555,1,0.60600001,2,0.60600001,0
0.42539261,1.3119916,-0.0075196036,1,0.60799998,2,0.60799998,0
0.42803808,1.3141415,-0.0076243548,1,0.61000001,2,0.61000001,0
0.43068347,1.3162913,-0.0077291028,1,0.61199999,2,0.61199999,0
0.43332894,1.3184412,-0.007833854,1,0.61400002,2,0.61400002,0
0.43597433,1.3205911,-0.007938602,1,0.616,2,0.616,0
0.43861972,1.3227409,-0.0080433501,1,0.61799997,2,0.61799997,0
0.44126519,1.3248908,-0.0081481012,1,0.62,2,0.62,0
0.44391058,1.3270407,-0.0082528493,1,0.62199998,2,0.62199998,0
0.44655604,1.3291906,-0.0083576004,1,0.62400001,2,0.62400001,0
0.44920143,1.3313404,-0.0084623485,1,0.62599999,2,0.62599999,0
0.4518469,1.3334903,-0.0085670997,1,0.62800002,2,0.62800002,0
0.45449229,1.3356402,-0.0086718477,1,0.63,2,0.63,0
0.45713776,1.3377901,-0.0087765989,1,0.63200003,2,0.63200003,0
0.45978315,1.3399399,-0.0088813469,1,0.634,2,0.634,0
0.46242854,1.3420898,-0.008986095,1,0.63599998,2,0.63599998,0
0.46507401,1.3442397,-0.0090908461,1,0.63800001,2,0.63800001,0
0.46771909,1.3463915,-0.0091951472,1,0.63999999,2,0.63999999,0
0.47035921,1.3485758,-0.0092920123,1,0.64200002,2,0.64200002,0
0.47299925,1.35076,-0.0093888746,1,0.64399999,2,0.64399999,0
0.47563937,1.3529444,-0.0094857397,1,0.64600003,2,0.64600003,0
0.47827941,1.3551286,-0.0095826019,1,0.648,2,0.648,0
0.48091945,1.3573129,-0.0096794642,1,0.64999998,2,0.64999998,0
0.48356136,1.3594965,-0.009771282,1,0.65200001,2,0.65200001,0
0.48633346,1.3616289,-0.0094944408,1,0.65399998,2,0.65399998,0
0.48910564,1.3637615,-0.0092175913,1,0.65600002,2,0.65600002,0
0.49188237,1.3658202,-0.0089907811,1,0.65799999,2,0.65799999,0
0.49467439,1.3676372,-0.0089279865,1,0.66000003,2,0.66000003,0
0.49746632,1.3694541,-0.0088651938,1,0.662,2,0.662,0
0.50025825,1.371271,-0.0088024011,1,0.66399997,2,0.66399997,0
0.50305027,1.373088,-0.0087396065,1,0.66600001,2,0.66600001,0
0.5058422,1.3749049,-0.0086768138,1,0.66799998,2,0.66799998,0
0.50863422,1.3767219,-0.0086140192,1,0.67000002,2,0.67000002,0
0.51142615,1.3785388,-0.0085512265,1,0.67199999,2,0.67199999,0
0.51421817,1.3803557,-0.0084884319,1,0.67400002,2,0.67400002,0
0.5170101,1.3821727,-0.0084256392,1,0.676,2,0.676,0
0.51980203,1.3839896,-0.0083628464,1,0.67799997,2,0.67799997,0
0.52259405,1.3858066,-0.0083000518,1,0.68000001,2,0.68000001,0
0.52538598,1.3876235,-0.0082372591,1,0.68199998,2,0.68199998,0
0.528178,1.3894404,-0.0081744645,1,0.68400002,2,0.68400002,0
0.53096993,1.3912574,-0.0081116718,1,0.68599999,2,0.68599999,0
0.53376195,1.3930743,-0.0080488772,1,0.68800002,2,0.68800002,0
0.53655388,1.3948913,-0.0079860845,1,0.69,2,0.69,0
0.53934581,1.3967082,-0.0079232918,1,0.69199997,2,0.69199997,0
0.54213783,1.3985251,-0.0078604972,1,0.69400001,2,0.69400001,0
0.54492976,1.4003421,-0.0077977045,1,0.69599998,2,0.69599998,0
0.54772178,1.402159,-0.0077349099,1,0.69800001,2,0.69800001,0
0.55051371,1.403976,-0.0076721172,1,0.69999999,2,0.69999999,0
0.55330573,1.4057929,-0.0076093226,1,0.70200002,2,0.70200002,0
0.55609766,1.4076098,-0.0075465298,1,0.704,2,0.704,0
0.55888959,1.4094268,-0.0074837371,1,0.70599997,2,0.70599997,0
0.56168161,1.4112437,-0.0074209425,1,0.708,2,0.708,0
0.56447354,1.4130607,-0.0073581498,1,0.70999998,2,0.70999998,0
0.56726556,1.4148776,-0.0072953552,1,0.71200001,2,0.71200001,0
0.57005749,1.4166945,-0.0072325625,1,0.71399999,2,0.71399999,0
0.57284951,1.4185115,-0.0071697679,1,0.71600002,2,0.71600002,0
0.5756641,1.4202475,-0.0071568998,1,0.71799999,2,0.71799999,0
0.57853937,1.421767,-0.0072775106,1,0.72000003,2,0.72000003,0
0.58141456,1.4232865,-0.0073981178,1,0.722,2,0.722,0
0.58429532,1.4249267,-0.007429502,1,0.72399998,2,0.72399998,0
0.58718031,1.4266568,-0.0073943595,1,0.72600001,2,0.72600001,0
0.59006522,1.4283869,-0.0073592181,1,0.72799999,2,0.72799999,0
0.59295022,1.4301171,-0.0073240755,1,0.73000002,2,0.73000002,0
0.59583512,1.4318472,-0.0072889341,1,0.73199999,2,0.73199999,0
0.59872012,1.4335773,-0.0072537915,1,0.73400003,2,0.73400003,0
0.60160503,1.4353074,-0.0072186501,1,0.736,2,0.736,0
0.60448994,1.4370375,-0.0071835086,1,0.73799998,2,0.73799998,0
0.60737493,1.4387677,-0.0071483661,1,0.74000001,2,0.74000001,0
0.61025984,1.4404978,-0.0071132246,1,0.74199998,2,0.74199998,0
0.61314484,1.442228,-0.0070780821,1,0.74400002,2,0.74400002,0
0.61602975,1.4439581,-0.0070429406,1,0.74599999,2,0.74599999,0
0.61891474,1.4456882,-0.0070077981,1,0.74800003,2,0.74800003,0
0.62179965,1.4474183,-0.0069726566,1,0.75,2,0.75,0
0.62468456,1.4491484,-0.0069375151,1,0.75199997,2,0.75199997,0
0.62756955,1.4508786,-0.0069023726,1,0.75400001,2,0.75400001,0
0.63045446,1.4526087,-0.0068672311,1,0.75599998,2,0.75599998,0
0.63333946,1.4543388,-0.0068320886,1,0.75800002,2,0.75800002,0
0.63622437,1.4560689,-0.0067969471,1,0.75999999,2,0.75999999,0
0.63910936,1.4577991,-0.0067618046,1,0.76200002,2,0.76200002,0
0.64199427,1.4595292,-0.0067266631,1,0.764,2,0.764,0
